NAICS,Lat,Long,Emps
4512,39.703585,-104.94098,4
5411,39.8139,-105.1243,2
6231,39.681963,-104.93509,93
2382,39.755024,-104.98717,2
2111,39.749099,-104.99215,1
4511,39.730485,-105.08122,2
4234,39.658024,-104.95312,1
8111,39.740437,-105.0956,3
2381,39.8705,-104.9495,2
8111,39.6151,-105.0715,41
2389,39.771237,-104.91014,1
2383,39.791237,-105.01831,1
7222,39.696869,-105.02411,7
2382,39.624063,-105.11211,7
2361,39.791237,-105.01831,1
2361,39.830316,-105.00208,6
5111,39.717033,-105.13295,2
5413,39.741053,-104.94203,1
7221,39.752863,-105.05416,3
4251,39.802137,-104.98041,1
8141,39.670602,-104.89352,1
5411,39.609737,-104.90318,1
5416,39.687463,-104.97792,2
5511,39.604294,-104.88741,3
5416,39.759712,-104.96082,1
8113,39.742828,-104.98758,1
8141,39.713626,-104.93032,1
5619,39.898987,-104.99642,4
4511,39.6972,-104.96188,2
5152,39.761108,-105.00785,5
8129,39.678663,-104.85062,1
5412,39.835838,-105.08752,1
4232,39.758737,-104.98656,1
5511,39.629533,-105.08628,1
2361,39.617867,-105.12118,1
5411,39.759922,-105.01562,1
4482,39.729921,-105.02492,1
4233,39.778138,-104.84604,12
5419,39.696937,-104.82721,2
5412,39.63575,-105.04822,1
2361,39.619828,-104.89118,1
4251,39.620157,-104.99338,1
8141,39.6641,-104.8353,2
2131,39.665198,-104.8957,6
5415,39.694488,-104.97828,1
6211,39.665219,-104.94088,3
4511,39.773283,-104.97295,4
4244,39.748235,-104.99844,1
5312,39.747787,-104.99821,1
3346,39.749039,-104.99451,2
4471,39.655405,-105.10743,3
5412,39.732452,-104.97052,1
5331,39.850014,-105.04933,3
5412,39.883501,-105.03362,1
5413,39.787861,-105.04058,2
5413,39.72092,-105.16522,3
4251,39.750946,-104.99547,1
5161,39.696737,-104.88132,1
5416,39.602655,-104.88107,1
4921,39.806975,-105.10508,1
5511,39.698248,-104.95828,1
8141,39.721459,-104.96502,1
8141,39.757145,-104.87222,1
8141,39.660037,-104.90977,1
5416,39.710745,-104.98778,1
6116,39.759046,-105.13789,1
5413,39.65074,-104.90338,1
7221,39.740337,-104.80876,8
9999,39.833336,-105.09456,1
5417,39.684998,-104.94198,1
5121,39.668868,-104.86334,1
2361,39.758091,-104.98975,2
2361,39.61606,-104.85964,1
5613,39.653328,-104.81521,3
5322,39.730118,-104.82872,2
6116,39.713538,-105.08868,1
5239,39.653237,-104.90143,4
8141,39.64403,-104.90095,1
5415,39.714837,-104.97551,1
